estacion,provincia,temp_max,temp_min,temp_med,viento_racha,viento_vel_max,prec_dia,prec_0_6h,prec_6_12h,prec_12_18h,prec_18_24h,fecha
Monteagudo,Navarra,14.2,-0.9,6.6,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Tudela,Navarra,14.6,1.0,7.8,43.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Luzaide/Valcarlos,Navarra,11.3,5.7,8.5,27.0,16.0,4.6,0.0,1.0,2.2,1.4,2021-01-17
O Barco de Valdeorras,Ourense,8.4,-3.4,2.5,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
A Pobra de Trives,Ourense,11.8,-1.2,5.3,17.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Chandrexa de Queixa,Ourense,11.4,-2.3,4.5,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ourense,Ourense,13.0,-1.2,5.9,12.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Beariz,Ourense,14.0,-3.9,5.0,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Carballiño, O",Ourense,12.6,-2.9,4.9,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ribadavia,Ourense,11.2,-0.5,5.3,,,,,,,,2021-01-17
Allariz,Ourense,12.4,-4.3,4.0,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Xinzo de Limia,Ourense,11.9,-8.1,1.9,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Muiños,Ourense,15.8,-1.3,7.3,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
A Gudiña,Ourense,12.4,1.9,7.1,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Verín,Ourense,11.0,-5.5,2.8,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Cervera de Pisuerga,Palencia,10.7,-0.8,4.9,19.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Aguilar de Campoo,Palencia,7.4,-5.4,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Villaeles de Valdavia,Palencia,3.3,-6.0,-1.4,17.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Velilla del Río Carrión, Camporredondo de Alba",Palencia,9.8,0.8,5.3,36.0,22.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Carrión de los Condes,Palencia,-1.2,-4.8,-3.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Autilla del Pino,Palencia,0.4,-8.0,-3.8,24.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Palencia,Palencia,1.2,-5.3,-2.1,12.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Santervás de la Vega, Villapún",Palencia,3.4,-8.1,-2.4,15.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Silleda,Pontevedra,11.5,1.0,6.3,21.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
A Estrada,Pontevedra,12.1,1.1,6.6,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
VilagarcÍa de Arousa,Pontevedra,13.7,3.5,8.6,22.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Pontevedra,Pontevedra,14.7,3.0,8.8,26.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
A Lama,Pontevedra,15.1,-1.5,6.8,16.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Vigo Aeropuerto,Pontevedra,13.2,1.8,7.5,18.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Vigo,Pontevedra,14.9,4.7,9.8,12.0,5.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
A Cañiza,Pontevedra,15.0,2.3,8.6,,,,,,,,2021-01-17
"Ponteareas, Canedo",Pontevedra,15.1,-2.2,6.5,,,,,,,,2021-01-17
O Rosal,Pontevedra,16.4,-0.1,8.1,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Pedrosillo de Los Aires,Salamanca,,,,21.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Salamanca Aeropuerto,Salamanca,6.5,-10.8,-2.2,15.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Salamanca,Salamanca,10.8,-7.4,1.7,14.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Barbadillo,Salamanca,10.6,-8.2,1.2,14.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ledesma,Salamanca,10.3,-9.0,0.7,11.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Villarino de los Aires,Salamanca,12.6,-6.9,2.9,10.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Boadilla Fuente San Esteban,Salamanca,12.4,-6.5,2.9,12.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Vitigudino,Salamanca,13.2,-6.5,3.3,13.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
El Maíllo,Salamanca,12.8,0.1,6.5,20.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Bañobárez,Salamanca,,,,,,,,,,,2021-01-17
Navasfrías,Salamanca,13.6,-7.2,3.2,17.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
El Bodón Base Aérea,Salamanca,11.4,-5.5,2.9,17.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Saelices El Chico,Salamanca,12.7,-7.6,2.5,21.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Fresno de Cantespino,Segovia,9.1,-8.0,0.6,26.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Aldeanueva de Serrezuela,Segovia,8.1,2.0,5.1,23.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Pedraza,Segovia,9.6,-1.0,4.3,16.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Cuéllar,Segovia,9.9,-12.5,-1.3,13.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Segovia,Segovia,9.4,-1.1,4.1,14.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
San Rafael,Segovia,9.2,-4.6,2.3,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Miguelañez,Segovia,7.5,-7.7,-0.1,23.0,19.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
La Roda de Andalucía,Sevilla,17.4,1.3,9.3,17.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Lora de Estepa,Sevilla,16.2,3.8,10.0,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Écija,Sevilla,19.1,0.7,9.9,17.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
La Puebla de los Infantes,Sevilla,17.3,-4.4,6.4,18.0,1.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Fuentes de Andalucía,Sevilla,17.3,2.2,9.7,19.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Carmona,Sevilla,17.6,1.4,9.5,28.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Cazalla de la Sierra,Sevilla,18.5,-0.5,9.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Guadalcanal,Sevilla,16.4,4.7,10.5,24.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Sevilla Aeropuerto,Sevilla,17.9,1.9,9.9,24.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Sevilla, Tablada",Sevilla,19.2,2.6,10.9,22.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Morón de la Frontera,Sevilla,,,,,,,,,,,2021-01-17
Carrión de los Céspedes,Sevilla,16.8,1.4,9.1,22.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Las Cabezas de San Juan,Sevilla,17.2,1.1,9.2,12.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Osuna,Sevilla,16.4,5.3,10.8,27.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Vinuesa, Quintanarejo",Soria,11.1,-3.4,3.9,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
"La Póveda de Soria, Barriomartín",Soria,9.5,-1.9,3.8,46.0,27.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Soria,Soria,13.6,-3.9,4.9,18.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Lubia,Soria,10.6,-1.3,4.7,42.0,29.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Morón de Almazán,Soria,8.5,-13.3,-2.4,19.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
La Riba de Escalote,Soria,7.4,-9.0,-0.8,36.0,27.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ucero,Soria,8.2,-8.7,-0.3,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Burgo de Osma,Soria,8.6,-9.1,-0.3,30.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Liceras,Soria,7.4,-2.7,2.4,27.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ólvega,Soria,14.3,-2.6,5.9,31.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
San Pedro Manrique,Soria,9.6,-3.6,3.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Arcos de Jalón,Soria,9.4,-5.2,2.1,28.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Almazul,Soria,8.9,-5.6,1.6,27.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Puntagorda,Santa Cruz de Tenerife,15.7,8.2,11.9,22.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Tijarafe,Santa Cruz de Tenerife,15.0,9.6,12.3,38.0,26.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
El Paso,Santa Cruz de Tenerife,14.9,5.0,9.9,48.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Fuencaliente,Santa Cruz de Tenerife,22.0,17.1,19.6,48.0,31.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Tazacorte,Santa Cruz de Tenerife,20.2,14.4,17.3,21.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
La Palma Aeropuerto,Santa Cruz de Tenerife,20.6,16.9,18.8,39.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
San Andrés y Sauces,Santa Cruz de Tenerife,17.4,13.8,15.6,29.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Vallehermoso, Alto Igualero",Santa Cruz de Tenerife,16.2,4.1,10.2,45.0,37.0,0.4,0.4,0.0,0.0,0.0,2021-01-17
Agulo,Santa Cruz de Tenerife,17.0,9.5,13.3,21.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Vallehermoso, Dama",Santa Cruz de Tenerife,23.4,12.4,17.9,24.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Hermigua,Santa Cruz de Tenerife,18.2,13.6,15.9,23.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
San Sebastián de la Gomera,Santa Cruz de Tenerife,21.6,16.2,18.9,30.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Adeje,Santa Cruz de Tenerife,,,,,,,,,,,2021-01-17
Arico,Santa Cruz de Tenerife,18.0,11.6,14.8,40.0,25.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Tenerife Sur Aeropuerto,Santa Cruz de Tenerife,21.0,14.2,17.6,54.0,39.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Izaña,Santa Cruz de Tenerife,11.0,3.0,7.0,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Candelaria,Santa Cruz de Tenerife,16.8,10.7,13.7,30.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Güímar,Santa Cruz de Tenerife,19.6,14.1,16.9,24.0,21.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"San Cristóbal de La Laguna,Llano de los Loros",Santa Cruz de Tenerife,17.5,7.0,12.3,42.0,30.0,0.2,0.0,0.0,0.2,0.0,2021-01-17
Tenerife Norte Aeropuerto,Santa Cruz de Tenerife,15.4,9.7,12.5,37.0,26.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Sta.Cruz de Tenerife,Santa Cruz de Tenerife,20.6,15.3,18.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Anaga,Santa Cruz de Tenerife,20.5,14.6,17.6,29.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
La Victoria de Acentejo,Santa Cruz de Tenerife,16.6,6.9,11.8,23.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Tacoronte,Santa Cruz de Tenerife,20.1,12.2,16.2,42.0,21.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Puerto de la Cruz,Santa Cruz de Tenerife,22.0,14.0,18.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"El Pinar, Depósito",Santa Cruz de Tenerife,12.2,3.9,8.0,31.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"San Andrés, Valverde",Santa Cruz de Tenerife,11.0,4.7,7.8,30.0,21.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Hierro Aeropuerto,Santa Cruz de Tenerife,20.3,17.0,18.6,42.0,33.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Frontera, Sabinosa",Santa Cruz de Tenerife,21.4,15.9,18.6,32.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Alforja,Tarragona,14.6,6.3,10.5,51.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Reus Aeropuerto,Tarragona,19.1,1.0,10.1,50.0,37.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Valls,Tarragona,15.3,1.1,8.2,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Tarragona,Tarragona,20.3,5.3,12.8,36.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Llorac,Tarragona,10.6,-0.6,5.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
La Pobla de Massaluca,Tarragona,13.5,5.7,9.6,69.0,42.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Cabacés,Tarragona,15.0,3.0,9.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Rasquera,Tarragona,16.9,1.2,9.0,59.0,33.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Estación de Tortosa,Tarragona,20.0,5.4,12.7,60.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Albarracín,Teruel,10.6,-6.3,2.2,24.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Teruel,Teruel,6.9,-11.5,-2.3,12.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Jabaloyas,Teruel,8.0,1.8,4.9,40.0,30.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Cedrillas,Teruel,5.8,-2.3,1.8,50.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Mosqueruela,Teruel,7.8,2.5,5.2,67.0,48.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Santa Eulalia del Campo,Teruel,5.8,-14.2,-4.2,12.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Calamocha,Teruel,4.5,-12.9,-4.2,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Fonfría,Teruel,5.2,-2.5,1.3,42.0,27.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Muniesa,Teruel,11.1,1.7,6.4,38.0,23.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Montalbán,Teruel,9.5,-1.6,3.9,23.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Hijar,Teruel,17.0,4.9,11.0,48.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Andorra,Teruel,12.1,2.9,7.5,58.0,46.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Castellote,Teruel,13.6,4.5,9.1,58.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Calanda,Teruel,14.9,6.7,10.8,50.0,30.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Alcañiz,Teruel,15.3,1.0,8.2,59.0,30.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Valderrobres,Teruel,13.4,-2.1,5.6,49.0,32.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Bello,Teruel,4.9,-14.0,-4.5,15.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ocaña,Toledo,6.7,-9.7,-1.5,11.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Tembleque,Toledo,6.8,-10.8,-2.0,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Mora,Toledo,17.1,-6.0,5.6,11.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Toledo,Toledo,5.5,-9.1,-1.8,18.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
San Pablo de los Montes,Toledo,12.0,4.6,8.3,,,,,,,,2021-01-17
Navahermosa,Toledo,16.9,-1.9,7.5,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Castillo de Bayuela,Toledo,9.9,-2.1,3.9,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Talavera de la Reina,Toledo,9.2,-4.5,2.3,22.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Oropesa,Toledo,13.1,-7.2,3.0,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Quintanar de la Orden,Toledo,8.7,-4.9,1.9,9.0,5.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Madridejos,Toledo,6.5,-9.8,-1.7,20.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Puerto Rey,Cáceres,15.0,-1.5,6.8,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Fontanars dels Alforins,València/Valencia,17.5,-1.4,8.1,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Miramar,València/Valencia,20.7,8.5,14.6,28.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Barx,València/Valencia,18.9,6.0,12.4,23.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Jalance,València/Valencia,15.5,-4.9,5.3,18.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Zarra,València/Valencia,12.2,2.8,7.5,,31.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Bicorp,València/Valencia,19.3,2.2,10.7,28.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ontinyent,València/Valencia,20.7,3.0,11.9,26.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Xàtiva,València/Valencia,22.2,1.6,11.9,27.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Carcaixent,València/Valencia,21.5,4.5,13.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Utiel,València/Valencia,14.0,-3.4,5.3,17.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Polinyà de Xúquer,València/Valencia,19.5,8.1,13.8,37.0,19.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Turís,València/Valencia,17.6,5.7,11.7,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ademuz,València/Valencia,11.4,-7.6,1.9,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Chelva,València/Valencia,17.9,2.4,10.1,35.0,23.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Lliria,València/Valencia,21.5,3.7,12.6,27.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Valencia Aeropuerto,València/Valencia,22.1,2.9,12.5,30.0,23.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"València, Viveros",València/Valencia,22.9,6.6,14.7,24.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Sagunto,València/Valencia,22.5,3.2,12.9,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Peñafiel,Valladolid,5.5,-11.1,-2.8,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Sardón de Duero,Valladolid,8.0,-7.7,0.2,9.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Valladolid,Valladolid,0.9,-4.9,-2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Olmedo, Depósito de Agua",Valladolid,4.8,-10.0,-2.6,13.0,12.0,0.4,0.0,0.2,0.2,0.0,2021-01-17
Rueda,Valladolid,2.7,-5.6,-1.4,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Fuente el Sol,Valladolid,4.3,-10.7,-3.2,8.0,5.0,0.2,0.0,0.2,0.0,0.0,2021-01-17
Villalón de Campos,Valladolid,2.5,-5.9,-1.7,13.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Medina de Rioseco,Valladolid,1.2,-4.9,-1.9,18.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Morales del Toro,Zamora,5.9,-5.6,0.2,10.0,8.0,0.2,0.0,0.0,0.2,0.0,2021-01-17
Fuentesauco,Zamora,1.4,-10.6,-4.6,14.0,10.0,0.2,0.0,0.2,0.0,0.0,2021-01-17
Villafáfila,Zamora,-0.8,-4.6,-2.7,12.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Zamora,Zamora,0.3,-4.0,-1.8,13.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Benavente,Zamora,-0.1,-4.5,-2.3,17.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Sanabria, Robleda-Cervantes",Zamora,15.2,-8.9,3.2,18.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Villardeciervos,Zamora,12.2,-9.3,1.4,15.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Santibañez de Vidriales,Zamora,3.4,-8.0,-2.3,10.0,5.0,0.2,0.0,0.2,0.0,0.0,2021-01-17
Pozuelo de Tabara,Zamora,-0.9,-5.7,-3.3,9.0,4.0,0.2,0.0,0.0,0.0,0.2,2021-01-17
Villadepera,Zamora,2.4,-5.4,-1.5,13.0,9.0,0.4,0.0,0.0,0.4,0.0,2021-01-17
Peñausende,Zamora,17.2,9.7,13.5,,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Fresno de Sayago,Zamora,7.3,-9.9,-1.3,19.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Alcañices,Zamora,12.8,-8.7,2.1,14.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Sos del Rey Católico,Zaragoza,10.7,1.2,5.9,32.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Tarazona,Zaragoza,13.9,0.5,7.2,37.0,19.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Ejea de los Caballeros,Zaragoza,13.9,0.4,7.1,36.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Castejon de Valdejasa,Zaragoza,12.3,2.8,7.6,52.0,32.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Alhama de Aragon,Zaragoza,10.3,-8.2,1.1,,,0.0,0.0,0.0,0.0,0.0,2021-01-17
Daroca,Zaragoza,8.4,-10.0,-0.8,14.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Calatayud,Zaragoza,10.8,-6.7,2.1,14.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
La Almunia de Doña Godina,Zaragoza,15.3,0.5,7.9,32.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Zaragoza Aeropuerto,Zaragoza,15.5,2.5,9.0,54.0,40.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Zaragoza, Valdespartera",Zaragoza,15.1,2.7,8.9,58.0,32.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Leciñena,Zaragoza,13.7,0.6,7.1,48.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Valmadrid,Zaragoza,12.8,4.9,8.9,56.0,37.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Quinto,Zaragoza,15.5,2.9,9.2,54.0,36.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Mazarrón,Murcia,17.8,6.7,12.2,25.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Formigal-Sarrios,Huesca,3.1,0.0,1.5,,,5.8,0.0,2.8,3.0,0.0,2021-01-17
Villanueva de la Cañada,Madrid,11.0,-3.4,3.8,14.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Caspe,Zaragoza,14.8,4.6,9.7,76.0,55.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Andratx - Sant Elm,Illes Balears,16.3,3.4,9.8,26.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Arure,Santa Cruz de Tenerife,14.8,7.7,11.3,43.0,29.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Villadiego,Burgos,-0.3,-4.8,-2.6,10.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Tomares, Zaudín",Sevilla,16.5,4.2,10.3,26.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
San Javier,Murcia,17.2,7.0,12.1,35.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Totana,Murcia,21.0,4.3,12.7,21.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Torla-El Cebollar,Huesca,5.9,-1.1,2.4,46.0,19.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Trujillo,Cáceres,12.7,2.8,7.7,15.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Granada Base Aérea,Granada,15.9,-1.9,7.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Roque de los Muchachos,Santa Cruz de Tenerife,11.7,4.8,8.3,20.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
San Juan de la Rambla,Santa Cruz de Tenerife,16.3,7.9,12.1,35.0,23.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Cerler-Cogulla,Huesca,0.7,-3.8,-1.5,67.0,46.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Panticosa-Petrosos,Huesca,3.6,-0.5,1.5,46.0,32.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Valverde,Santa Cruz de Tenerife,13.8,10.5,12.2,34.0,24.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
"Sóller, Puerto",Illes Balears,17.0,7.0,12.0,31.0,19.0,0.0,0.0,0.0,0.0,0.0,2021-01-17
Estaca de Bares,A Coruña,9.5,6.1,7.8,71.0,40.0,12.8,5.6,2.8,2.6,1.8,2021-01-03
Ferrol,A Coruña,9.2,4.2,6.7,28.0,15.0,12.5,4.5,2.6,3.7,1.7,2021-01-03
As Pontes,A Coruña,5.6,0.9,3.2,,,14.2,2.6,2.4,7.6,1.6,2021-01-03
A Coruña,A Coruña,10.0,6.4,8.2,48.0,30.0,13.4,6.6,2.8,4.0,0.0,2021-01-03
A Coruña Aeropuerto,A Coruña,8.4,3.0,5.7,50.0,27.0,16.8,5.6,2.8,6.5,1.9,2021-01-03
"Carballo, Depuradora",A Coruña,7.9,3.5,5.7,,,15.4,6.0,1.2,6.2,2.0,2021-01-03
Cabo Vilan,A Coruña,10.1,6.8,8.5,57.0,42.0,2.2,0.3,0.4,1.3,0.2,2021-01-03
Vimianzo,A Coruña,8.0,1.8,4.9,,,10.8,4.8,0.8,4.2,1.0,2021-01-03
